city_name,city_code
Порт-Пири,PPI
Порт-Стивен,PTE
Порт-Хантер,PHJ
Порт-Хедленд,PHE
Прозерпине,PPP
Порту-Амбоим,PBN
Сетиф,QSF
Скикда,SKI
Равенсторп,RVT
Ремингининг,RAM
Ренмарк,RMK
Ричмонд,XRH
Робинвейл,RBC
Робинсон-Ривер,RRV
Робинхуд,ROH
Розелла-Плейнз,RLP
Рой-Хилл,RHL
Рокебай,RKY
Рокхэмптон,ROK
Рокхэмптон-Даунз,RDA
Рома,RMA
Ропер-Бэй,RPB
Ропер-Веллей,RPV
Ротам-Парк,WPK
Роттнест-Айленд,RTS
Роубурн,RBU
Роузберт,RSB
Рутланд-Плейнз,RTP
Таманрассет,TMR
Тапачула,TAP
Тебесса,TEE
Тиарет,TID
Тимимун,TMX
Тиндуф,TIN
Тлемсен,TLM
Туггурт,TGR
Тау,TAV
Сайбей-Айленд,SBR
Сандрингем,SRM
Саншайн-Коуст,MCY
Сауз-Галвей,ZGL
Саузпорт,SHQ
Саутерн-Кросс,SQC
Саут-Молл риф,SOI
Седуна,CED
Сейл,SXE
Сент-Джордж,SGO
Сент-Полз-Мишн,SVM
Сент-Хеленс,HLS
Серферз-Парадайз,SFP
Сидней,SYD
Силвер-Плейнз,SSP
Синглтон,SIX
Скоун,NSO
Смит-Пойнт,SHU
Смиттон,SIO
Снейк-Бэй,SNB
Спрингвейл,KSV
Спринг-Крик,SCG
Ставелл,SWC
Станторп,SNH
Старке,SQP
Стефен-Айленд,STF
Сторт-Крик,SSK
Страдброук-Айленд,SRR
Стратмор,STH
Стрехен,SRN
Стрики-Бэй,KBY
Суон-Хилл,SWH
Сью-Айленд,SYU
Сэндстоун,NDS
Сайтсиин-Флайт,FQQ
Санкт-Антон,ANT
Сауримо,VHC
Сойо,SZA
Сумбе,NDD
Уаргла,OGX
Тайбубурра,TYB
Тайлунгра,TYG
Тамуэрт,TMW
Танбар,TXR
Тангалума,TAN
Тангул,THG
Тара,XTR
Таргоминда,XTG
Тари,TRO
Таркула,TAQ
Тарум,XTO
Таунсвилл,TSV
Теда,TDN
Тейблленд,TBL
Телфер,TEF
Темора,TEM
Теннант-Крик,TCA
Терсдей-Айленд,TIS
Тимбер-Крик,TBK
Тиодор,TDR
Тоберморей,TYP
Токумвал,TCW
Том-Прайс,TPR
Торвуд,TWP
Траралгон,TGN
Тувумба,TWB
Тумут,TUM
Турки-Крик,TKY
Тьюантин,TWN
Тирана,TIA
Уднадатта,ODD
Ундарра,UDA
Уолча,WLC
Уорик,WAZ
Уэлшпул,WHL
Фитута,FTI
Уамбо,NOV
Уиже,UGO
Хасси-Мессауд,HME
Финке,FIK
Финли,FLY
Фицрой-Кроссинг,FIZ
Флиндерз-Айленд,FLS
Флора-Валлей,FVL
Фоллз-Крик,FLC
Форбс,FRB
Форрест,FOS
Форрест-Ривер,FVR
Фоссил-Даунз,FSL
Фостер,FOT
Хайбери,HIG
Хамберт-Ривер,HUB
Хей,HXX
Хеймен-Айленд,HIS
Хеленвейл,HLV
Хенбери,HRY
Хервей-Бей,HVB
Хермансбург,HMG
Хизлендз,HAT
Хиллсайд,HLL
Хинчинбрук-Айленд,HNK
Хобарт,HBA
Хокер,HWK
Холлз-Крик,HCQ
Хоптаун,HTU
Хорн-Айленд,HID
Хоршам,HSM
Хоуп-Вейл,HPE
